학교,코드 번호,제목,Name,Strategic field,Keywords
Mass General Brigham,MGB-001,Development of an On-Premise LLM for Automated Diagnostic Reporting for Ultrasound AI Using Global Datasets,Kyungsang Kim,"Advanced Bio, AI","Biomedical, Medical Services & Industry, AI-based Medical Services"
Mass General Brigham,MGB-002,LLM-Enabled Evidence-Grounded Decision-Support Platform for Rare Cancers,Jong Chul Park,AI,"정보통신, 바이오/의료, 소프트웨어, SW솔루션(300802), 의료정보 및 시스템, 기타 의료정보, 및 시스템(500606)"
Mass General Brigham,MGB-003,Next-Generation Physics-Informed Intelligent Platform for Quantitative Medical Imaging,Quanzheng Li,Advanced Bio,"Biomedical, Medical Devices, Medical Imaging Devices"
Mass General Brigham,MGB-004,"A rational discoverydevelopment platform for human microbiome originated, precision live bacterial products (pLBPs)",Sungwhan F. Oh,Advanced Bio,"Bio-Medical, Bio-Medical, Medicinal Bio, Microorganisms, and, Enzyme Catalysts, Convergence Bio, Other Convergence Bio-, products/Technologies"
Mass General Brigham,MGB-005,Context-Aware High-Precision Tumor Segmentation and Follow-up Technology based on Multimodal LLMs Fusing 3D Medical Imaging and Clinical Notes,Kyungsang Kim,"Advanced Bio, AI","Biotech and Healthcare, Information and Communications, Therapeutic devices, and diagnostics, Intelligent diagnosis, system, Software, SW Solution, (TIPA: Korea Technology and Information Promotion Agency for SMEs)"
Mass General Brigham,MGB-006,Spatial Omics & Translational Modeling Platform for Target-Specific Therapy and Immunotherapy Response Prediction in Head and Neck Cancer,Jong Chul Park,Advanced Bio,Biotechnology / Biohealth
Mass General Brigham,MGB-007,A Bio-Semiconductor–Based Point-of-Care Multimodal Biosensing Platform for Osteoporosis Progression Diagnosis,Su Ryon Shin,"Semiconductor/Display, Advanced Bio","Bio & Medicine, e.g. Precision manufacturing, machinery, e.g. Cutting/processing, machinery"
Mass General Brigham,MGB-008,Multi-omics biomarker analysis for longitudinal treatment monitoring and prediction,Hyungsoon Im,Advanced Bio,"Biomedical and Healthcare, Therapeutic and diagnostic, systems, Molecular diagnostic, systems"
Mass General Brigham,MGB-009,Injectable Ultra-High-Concentration Protein Therapeutic Formulations Enabled by Particle-Based and Non-Aqueous Delivery Platforms,Yuhan Lee,Advanced Bio,"Biotechnology / Pharmaceutical, Biopharmaceutical, formulation and delivery, Injectable protein, formulations, drug delivery, systems"
Mass General Brigham,MGB-010,Handheld In Situ Electrospinning Platform for Chronic Wound Healing Using ECM homeostasis-Regulating Micromaterial–Embedded Nanofiber Matrices,Su Ryon Shin,Advanced Bio,"Bio & Medical, Bio & Medical, Pharmaceutical, Biotechnology, Bio-based Biomaterials, Therapeutic and, Diagnostic Devices, Other Therapeutic, Devices"
Mass General Brigham,MGB-011,Quantum Biophotonic Integrated Circuits for the Early Detection of Sepsis,Luke P. Lee,"Semiconductor/Display, Advanced Bio, Quantum","Bio & Medicine, e.g. Semiconductor, manufacturing process, e.g. Display, manufacturing process"
Mass General Brigham,MGB-012,Development of a High‑Multiplex Biomarker Imaging Platform for Precision Diagnostics and Therapeutic Innovation,Conor Evans,Advanced Bio,"Bio / Medical Technology, AI / Digital Healthcare / Intelligent Medical Devices, Biomedical Imaging &, Diagnostics, Molecular Imaging / Multiplex, Biomarker Imaging, Digital Pathology, AI-enabled Biomarker, Analysis"
Georgia Tech,GT-001,AI Foundation Models for Warpage in Advanced Packaging to Secure a Technological Lead in High Bandwidth Memory Manufacturing,PI- Xiao LIU,"Semiconductor/Display, AI, Advanced Robotics & Manufacturing","2. Electrical & Electronics, 7. Large Classification: Knowledge Service, Semiconductor Device, and System (2004), Design Tool (200407), Manufacturing, Engineering Service, (7005), Production Process, Modeling/Simulation, Service (700503)"
Georgia Tech,GT-002,AI-Driven Active Transfer Learning for Efficient Process Modeling in Advanced Manufacturing,Kamran Paynabar,"AI, Advanced Robotics & Manufacturing","Mechanical ᆞMaterials, Artificial Intelligence, Additive, Manufacturing/ Bio, 3DPrinting, Digital, manufacturing, Smart, Manufacturing, AI-Based, Manufacturing, Process Control"
Georgia Tech,GT-003,Autonomous Robotic Endoscope for Minimally Invasive Interventions,Yue Chen,"AI, Advanced Robotics & Manufacturing","Bio ㆍMedical, Mechanical ᆞMaterials, Therapeutic devices &, diagnostic devices, Interventional Therapeutic, Devices, Robotics/ Automation, Machinery, Robot Control and, Intelligence Technologies"
Georgia Tech,GT-004,Designing Mechanically Intelligent Robotic Manipulators for Highly Unstructured Environments,Tony G. Chen,"Advanced Mobility, Aerospace/Marine, AI, Advanced Robotics & Manufacturing","Mechanical and Materials, Mechanical and Materials, Robotics/Automation, Machinery, Robot Design, Technologies, Robotics/Automation, Machinery, Robot Control and, Intelligence, Technologies"
Georgia Tech,GT-005,Differentiable and Robust Contact-Aware Planning Technology for Scalable Robotic Manipulation,Glen Chou,"Aerospace/Marine, AI, Advanced Robotics & Manufacturing","MechanicalᆞMaterials, MechanicalᆞMaterials, Robotics/ Automation, Machinery, Robot Control and, Intelligence Technologies, Robotics/, Automation, Machinery, Mechanical, Automation, Technologies"
Georgia Tech,GT-006,"Lifelong Personalized Home Robots that Continually Remember, Reason, and Learn",Zsolt Kira,"AI, Advanced Robotics & Manufacturing","Mechanical ᆞMaterials, Robotics/ Automation, Machinery, Robot Control and, Intelligence Technologies, Robotics/, Automation, Machinery, Robot, Vision, and, Production, Automation, Technologies"
Georgia Tech,GT-007,Personalized Context-Aware AI Assistant for Adaptive Communication and Everyday Task Support,Not Found,AI,"​Technology Field 2 (​Large Category​)​, ​Knowledge Services​, ​Knowledge Services​, ​Medium Category​, ​Small Category​, ​Medium Category​, ​Small Category​, ​Human Resource​, ​Competency​, ​Development Services​, ​Human–System​, ​Interaction Technologies​, ​Design Services​, ​Design · Multimedia​, ​Design Technologies​, ​Concept of"
Georgia Tech,GT-008,AI-based real-time quality control and qualification in large-format additive manufacturing,PI: Jianjun Shi,"AI, Advanced Robotics & Manufacturing","Machinery and materials, Machinery and materials, Robotics/Automation, Machinery, Machine Automation, Robotics/ Automation, Machinery, Other Robot/Automation, Machinery Technology"
Georgia Tech,GT-009,"Secure and Resilient Manufacturing Platforms for Industry 4.0 IP Protection, Criticality-Aware Security Assessment, and Impact-Driven Recovery",Saman Zonouz,Advanced Robotics & Manufacturing,"Cybersecurity, AI, Manufacturing, Industrial IoT, Cyberphysical, system security"
Georgia Tech,GT-010,Cyber-Resilient Framework for Networked Robotic Systems Advanced Detection and Mitigation of Geometric Transformation Attacks,Jun Ueda,"Cybersecurity, AI, Advanced Robotics & Manufacturing","Information ᆞCommunication, Mechanical ᆞMaterials, Information Security, Network System, Security, Robotics/ Automation, Machinery, Robot Control and, Intelligence, Technologies"
Georgia Tech,GT-011,AI-Enabled Multi-Legged Robots for Inspection and Intervention in Challenging Environments,Daniel I. Goldman,"Advanced Mobility, AI, Advanced Robotics & Manufacturing","MechanicalᆞMaterials, MechanicalᆞMaterials, Robotics/ Automation, Machinery, Robot Control and, Intelligence, Technologies, Robotics/ Automation, Machinery, Robot Vision and, Production Automation, Technologies"
Georgia Tech,GT-012,"Vision–Language–Grounded Task and Motion Planning for Robust, Human-Centered Robot Autonomy",Sonia Chernova,"AI, Advanced Robotics & Manufacturing","MechanicalᆞMaterials, MechanicalᆞMaterials, Robotics/, Automation, Machinery, Robot Control and, Intelligence, Technologies, Robotics/, Automation, Machinery, Robot Vision and, Production, Automation, Technologies, Robotics/, Automation, Machinery"
Georgia Tech,GT-013,"System and Interface for Safe, Superhuman Robot Manipulator Teleoperation and Autonomy",Shreyas Kousik,"AI, Advanced Robotics & Manufacturing","Mechanical ᆞMaterials, Mechanical ᆞMaterials, Robotics/, Automation, Machinery, Robotics/Automation, Machinery Software, Robotics/, Automation, Machinery, Robot Control and, Intelligence, Technologies"
Georgia Tech,GT-014,Wearable IoT–Based Safety and Productivity Intelligence Platform for Workforce-Intensive Industries,Yong Kwon Cho,"AI, Advanced Robotics & Manufacturing","Mechanical · Materials, Electrical · Electronics, Robotics / Automation, Machinery, Measurement / Sensor, Technologies for, Automation, Electrical and Electronic, Components, Sensor Components"
Georgia Tech,GT-015,Auto-elevating and expanding canopy system for temperature stabilization in building construction,Yong Kwon Cho,"AI, Advanced Robotics & Manufacturing","Mechanical ᆞMaterials, Mechanical ᆞMaterials, Robotics/Automation, Machinery, Mechanical Automation, Technologies, Robotics/Automation, Machinery, Measurement/Sensor, Technologies for, Automation"
Georgia Tech,GT-016,"The Cooperative Multi-Robot Gantry (CMRG) An AI-Enabled Platform for Large-Scale Manufacturing, Assembly, and Inspection of Modular Building Structures and",Edvard Bruun,"AI, Advanced Robotics & Manufacturing","Mechanical ᆞMaterials, Mechanical ᆞMaterials, Robotics/ Automation, Machinery, Robot Control and, Intelligence, Technologies, Robotics/ Automation, Machinery, Measurement/Sensor, Technologies for, Automation"
Georgia Tech,GT-017,AI-Driven Predictive Maintenance for Intelligent Robotic Systems in Manufacturing,Seung-Kyum Choi,Semiconductor/Display,"Mechanical and materials, Robotics, Automation, machinery, Sensor Technologies"
Georgia Tech,GT-018,Robust Low-Altitude Aerial Delivery with Vision-Language-Action-based Last-Mile Intelligence,Lu Gan,"Advanced Mobility, AI, Advanced Robotics & Manufacturing","Mechanical · Materials, Mechanical · Materials, Robotics / Automation, Machinery, Robot Control and, Intelligence, Technologies, ITS / Telematics, ITS Application Services"
Georgia Tech,GT-019,A Real-to-Sim-to-Real Technology for Reliable Urban Autonomous Navigation in Long-Tail Scenarios,Lu Gan,"Advanced Mobility, AI, Advanced Robotics & Manufacturing","Mechanical · Materials, Information & Communication, Robotics / Automation, Machinery, Robot Control and, Intelligence, Technologies, ITS / Telematics, ITS Application Services"
Georgia Tech,GT-020,Development of Governing Equations and Multiscale Simulation Methodology for Nature-Inspired Porous Media in High-Density Data Center Cooling,David Hu,"AI, Advanced Robotics & Manufacturing","Machinery and Materials, General Machinery /, Fluid Machinery, High-efficiency Heat, Exchangers"
Georgia Tech,GT-021,DNA Minicircle-Based Mechanical Reporters for Drug Discovery,Harold Kim,Advanced Bio,"Advanced Bio, Advanced Bio"
Georgia Tech,GT-022,"AI-Powered, Instruction-Driven Warehouse Robot Technology for Adaptive Material Handling",Lu Gan,"AI, Advanced Robotics & Manufacturing","MechanicalᆞMaterials, MechanicalᆞMaterials, Robotics / Automation, Machinery, Robot Control and, Intelligence, Technologies, Industrial / General, Machinery, Transportation / Material, Handling Machinery"
Georgia Tech,GT-023,Scalable networks of multimodal haptic arrays for plantar sensory substitution,Matthew Flavin,"Advanced Bio, Advanced Robotics & Manufacturing","Bio ㆍMedical, Bio ㆍMedical, Functional, Restoration /, Assistive & Welfare, Devices, Cognitive / Sensory, Function Support, Devices, Bio-electronics, /, Bio-Information, Remote and Home, Health care Devices"
Georgia Tech,GT-024,Emotionally responsive classroom wearables for real-time student self-report and haptic co- regulation,Matthew Flavin,"AI, Next-gen Communication, Advanced Robotics & Manufacturing","Knowledge Service, Electrical ㆍElectronics, Human Resource, Competency, Development, Services, Intelligent Learning, Support /, Management, Technologies, Electrical and, Electronic, Components, Sensor components"
Georgia Tech,GT-025,"Design, Prototyping, and Flight Test of a Drone Interceptor for Counter-UAS Operations",Jonathan Rogers,"Aerospace/Marine, Cybersecurity","Mechanical and materials, Mechanical and materials, Aerospace Systems, Fixed-wing/rotary-wing, Aircraft mechanical, systems, Robotics / Automation, machinery, Robot Control and, Intelligence, Technologies"
Georgia Tech,GT-026,"A technology that enables network-resilient XR-based remote robot operation, allowing one operator to embody supervise multiple robots across distributed sites",Mohsen Moghaddam,"AI, Advanced Robotics & Manufacturing","Mechanical, Materials, Information & Communication, Robotics/Automation, Machinery, Robot Control and, Intelligence, Technologies, Digital Content, Virtual Reality, ​, Computer Graphics"
Georgia Tech,GT-027,Metric-Semantic Mapping and Neuro-Symbolic Methods for Scene Reasoning in Support of Assistive Robot Task Completion-v2,Patricio Vela,Advanced Robotics & Manufacturing,"Mechanical / Materials, Robotics / Automation Machinery, Robot Control and Intelligence, Technologies"
Georgia Tech,GT-028,Resource-efficient Real-time Quick Anomaly Detection Technology,Xiaochen Xian,"Cybersecurity, AI","Knowledge Services, Knowledge Services, R&D / Engineering, Services, Product Quality, Management, Technologies, R&D / Engineering, Services, Testing / Inspection /, Analysis Techniques"
Georgia Tech,GT-029,Integrating Hybrid Asymmetric Interfaces and Situated Reasoning for Next-Generation Smart Factories,Yalong Yang,Advanced Robotics & Manufacturing,"Mechanical ㆍMaterials, Information & Communication, Robotics/Automation, Machinery, Robot Control and, Intelligence, Technologies, Digital Content, Virtual Reality"
Georgia Tech,GT-030,Digital Twin for Tokamak and Stellarator Design and Optimization,Qi Tang,Next-gen Nuclear Power,"Energy & Resources, Nuclear Power, Next-Generation, Nuclear Power"
Georgia Tech,GT-031,Assured Neuro-Symbolic Reinforcement Learning for Resilient Autonomous and Robotic Systems,Kyriakos G. Vamvoudakis,"Semiconductor/Display, Advanced Mobility, Aerospace/Marine, Cybersecurity, AI, Advanced Robotics & Manufacturing","Machinery and materials, Information and Communication, Robotics/Automation, Machinery, Robot Control,, Intelligence and, Autonomous Systems, Software/AI Systems, AI,, Learning, and, Decision-Making, Algorithms"
Georgia Tech,GT-032,Integrated AI-Driven Orchestration Platform for Self-Sustaining Battery Swapping Networks Synergizing MARL-based Indirect Rebalancing and Demand-Responsive,Chelsea C. White III,"Secondary Battery, Advanced Mobility, AI","Knowledge Services, Energy & Resources, ​, Manufacturing, Value-Added Services, Distribution and, Logistics Services, Smart Grid, Intelligent Service -, Operation"
Georgia Tech,GT-033,Efficient Agentic AI Systems LLM-Agent Orchestration and Hardware-Aware Acceleration for Autonomous Enterprise and Edge Automation,Yingyan (Celine) Lin,"Semiconductor/Display, AI, Advanced Robotics & Manufacturing","Information & Communication, Electrical Electronics, Software, Embedded Software, Semiconductor Devices, and Systems, SoC"
Georgia Tech,GT-034,AI-Enabled Intelligence Wearable Robotic Assistance for Human Mobility,Aaron Young,"Advanced Mobility, Advanced Bio, AI, Advanced Robotics & Manufacturing","MechanicalᆞMaterials, BioᆞMedical, Robotics/ Automation, Machinery, Robot Control and, Intelligence, Technologies, Functional, Rehabilitation/Assistanc, e and Welfare Devices, Mobility Assistance, Devices"
Georgia Tech,GT-035,AI-Enabled Home Mobile Manipulation Technology for Robust Object Search and Rearrangement,Sehoon Ha,"AI, Advanced Robotics & Manufacturing","MechanicalᆞMaterials, MechanicalᆞMaterials, Robotics/ Automation, Machinery, Robot Control and, Intelligence, Technologies, Robotics/ Automation, Machinery, Robot Vision and, Production Automation, Technologies"
Georgia Tech,GT-036,Physical AI-based Human-to-Humanoid Knowledge and Skill Transfer Framework for Automated Industrial Equipment Operation,Francis Baek,"AI, Advanced Robotics & Manufacturing","Mechanical & Materials, Mechanical & Materials, Robotics / Automation, Machinery, Robot Control and, Intelligence, Technologies, Robotics/ Automation, Machinery, Robot Vision and, Production Automation, Technologies"
Georgia Tech,GT-037,AI-Based Co-Design Interface for Robotic Systems,HyunJoo Oh,"AI, Advanced Robotics & Manufacturing","MechanicalᆞMaterials, Knowledge Services, Robotics / Automation, Machinery, Robot Design, Technologies, Human Resource, Competency, Development Services, Human–System, Interaction Technologies"
Georgia Tech,GT-038,Safe and Faster-than-expert Imitation Learning for General-Purpose Manipulation,Danfei Xu,"AI, Advanced Robotics & Manufacturing","MechanicalᆞMaterials, MechanicalᆞMaterials, Robotics/ Automation, Machinery, Robot Control and, Intelligence, Technologies, Robotics/ Automation, Machinery, Robot Vision and, Production Automation, Technologies"
Georgia Tech,GT-039,Multimodal Large Language Model-Powered Agentic AI System for Enhanced Clinical Diagnosis,Yongxin Chen,"Advanced Bio, AI","Bio Medical, Bio Medical, Therapeutic Devices &, Diagnostic Devices, MRI, Therapeutic Devices &, Diagnostic Devices, X-ray and CT"
Georgia Tech,GT-040,System-Aware Compilation for Large-Model Inference on AI Accelerators,Hyesoon Kim,"Semiconductor/Display, AI","Information & Communication, Information & Communication, Software, System Integration, Software, Software Solutions"
Georgia Tech,GT-041,Interactive AI Systems for Intuitive Human-Robot Collaboration in Home and Office Environments,Siddharth Karamcheti,"AI, Advanced Robotics & Manufacturing","MechanicalᆞMaterials, MechanicalᆞMaterials, Robotics / Automation, Machinery, Robot Control and, Intelligence, Technologies, Robotics / Automation, Machinery, Robotics / Automation, Machinery Software"
Georgia Tech,GT-042,Scalable AI-based Wearable Medical Device Platform for Continuous Monitoring and Real-time Cardiorespiratory Disease Diagnosis,Prof. Woon-Hong Yeo,"Advanced Bio, AI, Advanced Robotics & Manufacturing","Digital Healthcare, Health Diagnostics, Wearable Device, Cardiorespiratory, disease detection, Wireless Non-Invasive, Device, AI-based disease, detection"
Georgia Tech,GT-043,TokenSmith A local-first AI tutor for industrial workers that grounds answers in equipment operation manuals,Joy Arulraj,AI,"Knowledge Services, Human Resource, Competency, Development Services, Intelligent Learning, Support / Management, Technologies"
Georgia Tech,GT-044,Provably Safe Autonomous Coordination for Congested Space and Air Operations,Sarah H.Q. Li,"Aerospace/Marine, Advanced Robotics & Manufacturing","Mechanical Materials, Mechanical Materials, Aerospace, Systems, Aerospace System, Software, Robotics/Automati, on Machinery, Robot Control and, Intelligence, Technologies"
Georgia Tech,GT-045,Distributed Model Predictive Path Integral Control for Swarms and Cooperative Robotics,Evangelos Theodorou,Advanced Robotics & Manufacturing,"Advanced Robotics, Advanced Mobility, Aerospace/Marine"
Georgia Tech,GT-046,Reliable Digital Twins via Scientific Machine Learning and Uncertainty Quantification,Peng Chen,"AI, Advanced Robotics & Manufacturing","Materials Manufacturing, Artificial Intelligence, R&D / Engineering, Services, Production, Process Modeling, / Simulation, Scientific Machine, Learning, Operator Learning"
Georgia Tech,GT-047,"Distributed, AI-driven Robotic Interiors to Promote Routine Anchoring for the Elderly through Personalized Environmental Reconfigurations",Yixiao Wang,"AI, Advanced Robotics & Manufacturing","Bio ᆞMedical, Mechanical ᆞMaterials, Functional, Restoration /, Assistive & Welfare, Devices, Cognitive / Sensory, Function Support, Devices, Robotics/ Automation, Machinery, Robot Design, Technologies"
Georgia Tech,GT-048,A Physical AI Infrastructure for Generative Digital Twin Training and Deployment,Bo Zhu,"AI, Advanced Robotics & Manufacturing","Information & Communication, Mechanical · Materials, Digital Content, Computer, Graphics, Robotics, /, Automation, Machinery, Robotics/Automatio, n, Machinery, Software"
Georgia Tech,GT-049,AI-Powered Infrastructure for Ultrafast Simulation and Optimization of Complex Fluid Systems,Bo Zhu,"Aerospace/Marine, AI, Advanced Robotics & Manufacturing","Mechanical ㆍMaterials, Knowledge Services, Energy /, Environment, Mechanical, Systems, Fluid Machinery R&D / Engineering, Services, Production, Process Modeling, / Simulation"
Georgia Tech,GT-050,Hierarchical Factor Graph Optimization for Long-Horizon Multi-Robot Tasks,Not Found,"AI, Advanced Robotics & Manufacturing","‭Technology Field 2 (‬‭Large Category‬‭)‬, ‭MechanicalㆍMaterials‬, ‭MechanicalㆍMaterials‬, ‭Medium Category‬, ‭Small Category‬, ‭Medium Category‬, ‭Small Category‬, ‭Robotics/Automation‬, ‭Machinery‬, ‭Robot Control and‬, ‭Intelligence‬, ‭Technologies‬, ‭Robotics/Automation‬, ‭Machinery‬, ‭Robotics/Automation‬, ‭Machinery Software‬, ‭Concept of"
UIUC,UIUC-001,A surface technology killing bacteria in contact without releasing chemicals,Qing Cao,Advanced Bio,"BioㆍMedical, Chemicals, Medical Bio, Bio - Biomaterials, Fine Chemicals, Nano-Application, Technologies"
UIUC,UIUC-002,A technology enabling monolithic 3D integration of high-performance silicon transistors,Qing Cao,Semiconductor/Display,"Electrical • Electronics, Semiconductor Devices, and Systems, Si, Element/Semiconductor, Materials"
UIUC,UIUC-003,Convergent Manufacturing of Hybrid Metal-Composite Cryogenic Tubes for Liquid Hydrogen Storage and Transportation,Jeffery W Baur,Hydrogen,"Energy & Resources, New &Renewable Energy, Hydrogen"
UIUC,UIUC-004,Extreme Environment VCSELs and Drivers for 5G and 6G Systems,John Dallesasse,Next-gen Communication,"Electrical - Electronics, Electrical - Electronics, Optical Application Devices, Laser-related Components, and Generation Devices, Semiconductor Devices and, Systems, Other Semiconductor, Devices"
UIUC,UIUC-005,Freestanding Ultrathin Micro-LED Technology for Holographic Waveguide-Compatible Microdisplay Light Engine,Hyunseok Kim,Semiconductor/Display,"ElectricalㆍElectronics, ElectricalㆍElectronics, Display, Display Components and, Materials, Semiconductor Devices and, Systems, Compound Semiconductor, Devices"
UIUC,UIUC-006,Integrated Biogas Upgrading and Carbon Capture Platform for Clean Hydrogen Production from Agricultural Waste,Jiajun He,Hydrogen,"Energy & Resources, MechanicalㆍMaterials, New & Renewable Energy, Hydrogen, Metal Materials, Materials Analysis/Evaluation, Technologies"
UIUC,UIUC-007,MindScope Autonomous Agent for Deep Research and Business Reporting,Yongjoo Park,AI,"Information & Communication, Knowledge Services, Software, Software Solutions, Management Strategy /, Finance / Trade Services, Knowledge Creation /, Distribution / Evaluation, Technologies"
UIUC,UIUC-008,Real-Time Video Chat with Vision-Language Models,Francis Y. Yan,"AI, Next-gen Communication","Information & Communication, Software, Internet SW"
UIUC,UIUC-009,Safe LLM-Based Troubleshooting for Incident Response,Francis Y. Yan,AI,"Information & Communication, Software, Internet SW"
UIUC,UIUC-010,Binary self-healing retro-reflective pavement markings,Ramez Hajj,Advanced Mobility,"Chemicals, Mechanical - Materials, Fine chemicals, Paints/coatings, Automobile/Rail Vehicles, Other Automobile/Rail, Vehicle–related Technologies"
UIUC,UIUC-011,"Single-cell imaging and data-driven prediction of antibiotic mechanism, resistance, and treatment response",Sangjin Kim,Advanced Bio,"Bio-Medical, Bio-Medical, Medical Bio, Small-Molecule, Pharmaceuticals, Bio-processes/ Bio-, equipment, Bio-Analytical Instruments"
UIUC,UIUC-012,Single-cell and spatially resolved analysis of RNA vaccine fate after delivery,Sangjin Kim,Advanced Bio,"Bio-Medical, Bio-Medical, Medical Bio, Vaccines, Medical Bio, Gene Pharmaceuticals"
UIUC,UIUC-013,Automated Multiplexed Electrochemistry for a Minimal Set Approach to the Electrocatalytic Conversion of Targeted Small Molecules,Joaquín Rodríguez-López (Lead)1,"Hydrogen, AI, Advanced Robotics & Manufacturing","Chemicals, Mechanical-Materials, Chemical Processes, Catalyst Application, Technologies, Robotics/Automation, Machinery, Other Robotics/Automation, Machinery Technologies"
UIUC,UIUC-014,A Technology that Enables Onboard Physical AI within the Computational Constraints of Humanoid Robots,Joohyung Kim,"AI, Advanced Robotics & Manufacturing","Machinery and materials, Machinery and materials, Robotics/Automation, Machinery, Robot Control and, Intelligence Technologies, Robotics/Automation, Machinery, Robotics/Automation, Machinery Software"
UIUC,UIUC-015,Scalable LLM inference system for lookup-augmented models,Nam Sung Kim,"Semiconductor/Display, AI","ElectricalㆍElectronics, Semiconductor, Devices and Systems, SoC"
UIUC,UIUC-016,In Situ Optical Monitoring of Colloidal Quantum Dot Growth for Precision and Reproducible Synthesis and their Application in QD LEDs,Moonsub Shim,"Semiconductor/Display, Quantum","Chemicals, Electrical/Electronics, Fine Chemicals, Nano-Application, Technologies, Display, Display, Components, and Materials"
UIUC,UIUC-017,Stable Quantum Dots with Tunable Infrared Bandgaps,Andrew M. Smith,"Semiconductor/Display, Advanced Bio","Electrical and Electronics, Bio and Medical, Optical Application Devices, Optical Materials, Therapeutic Devices &, Diagnostic Devices, Nuclear Medicine and, Molecular Imaging, Diagnostic Devices"
UIUC,UIUC-018,BEOL-compatible nitride electronics enabled by 2D materials-assisted epitaxy,Hyunseok Kim,Semiconductor/Display,"ElectricalㆍElectronics, ElectricalㆍElectronics, Semiconductor Devices and, Systems, Compound Semiconductor, Devices, Electrical and Electronic, Components, Ultra-High-Frequency, Generation Devices"
UIUC,UIUC-019,SLO-Aware Orchestration for AI Services across Heterogeneous Infrastructure,Fan Lai,"Advanced Mobility, AI, Advanced Robotics & Manufacturing","MechanicalㆍMaterials, Information & Communication, Automobile/Rail Vehicles, Vehicle Intelligence, Technologies, Home Network, Intelligent Home Appliances"
UIUC,UIUC-020,Vortex Turning LLM Serving into SLA-Guaranteed Enterprise Infrastructure,Fan Lai,"Advanced Mobility, AI, Advanced Robotics & Manufacturing","Knowledge Services, Information & Communication, R&D /Engineering Services, Other R&D / Engineering-, Related Technologies, Software, System Integration"
UIUC,UIUC-021,Building compact wearable interfaces for dexterous teleoperation,Craig Shultz,"AI, Advanced Robotics & Manufacturing","MechanicalㆍMaterials, Information & Communication, Robotics/Automation, Machinery, Robot Control and, Intelligence Technologies, Digital Content, Virtual Reality"
UIUC,UIUC-022,Quantum Ghost spectroscopy - IR spectroscopy without IR detectors,Paul Kwiat,"Advanced Mobility, Quantum","Electrical - Electronics, Electrical - Electronics, Optical Application Devices, Optical Measurement &, Control Devices/Light Sources, Measuring Instruments, Optical Measuring, Instruments"
UIUC,UIUC-023,"AI-Driven Development of Advanced Metallic Textiles - Converting Standard Wire into Smart, Impact-Absorbing Safety Materials",Prof. Wenjie Zhou,"Secondary Battery, Advanced Mobility, Aerospace/Marine, AI, Advanced Robotics & Manufacturing","MechanicalㆍMaterials, MechanicalㆍMaterials, Automobile / Rail Vehicles, Safety Improvement, Technologies, Robotics/Automation, Machinery, Robot Design Technologies"
UIUC,UIUC-024,Certifiably Safe and Precise Control of AI-Infused Robotic Systems with Vision and Language - Theory and Experiments,Hiroyasu Tsukamoto,"Aerospace/Marine, Cybersecurity, AI, Advanced Robotics & Manufacturing","MechanicalㆍMaterials, MechanicalㆍMaterials, Robotics/Automation Ma-, chinery, Robot Control and Intelli-, gence Technologies, Aerospace Systems, Aerospace System Software"
UIUC,UIUC-025,Temperature-Triggered Extracellular Glutathione Production Eliminating Cell Lysis to Reduce Manufacturing Costs,Hyun Youk,Advanced Bio,"Bio-Medical, Chemicals, Industrial biotechnology, Bio-chemical materials, Fine chemicals, Pharmaceutical, intermediates / active, ingredients"
UIUC,UIUC-026,Compound semiconductor nonlinear photonics for efficient lightwave generation and conversion,Kejie Fang,"Semiconductor/Display, Quantum","ElectricalㆍElectronics, ElectricalㆍElectronics, Optical Application Devices, Optical Devices, Semiconductor Devices, and Systems, Compound, Semiconductor Devices"
UIUC,UIUC-027,Nanoscale Electronic and Optoelectronic Devices for Advanced Information and Display Technologies,Wenjuan Zhu,Semiconductor/Display,"ElectricalㆍElectronics, ElectricalㆍElectronics, Semiconductor, Devices and Systems, Other Semiconductor, Devices, Optical Application, Devices, Optical Devices"
UIUC,UIUC-028,Quantum Photonic Timing Technology,Paul Kwiat,"Advanced Mobility, Quantum","Electrical - Electronics, Electrical - Electronics, Optical Application Devices, Optical Measurement &, Control Devices/Light Sources, Measuring Instruments, Optical Measuring, Instruments"
UIUC,UIUC-029,Next-Generation Tomographic Instrumentation for Nuclear Safeguards Verification,Angela Di Fulvio (PI);,Next-gen Nuclear Power,"Energy and Resources, Nuclear Power, Radiation Management, Technologies, Nuclear Plant Instrumentation, and Control"
UIUC,UIUC-030,Tunable optical materials for quantum technology,Christopher Paul Anderson,Quantum,"Electrical and Electronics, Mechanical and materials, Optical Application Devices, Optical Materials, Surface Treatment, Thin-Film Fabrication, Technologies"
UIUC,UIUC-031,Silicon carbide quantum technology,Christopher Paul Anderson,"Semiconductor/Display, Quantum","Electrical and Electronics, Electrical and Electronics, Semiconductor Devices and, Systems, Semiconducting Materials, Optical Application Devices, Optical Devices"
UIUC,UIUC-032,Development of a Causal Digital Twin for Real-Time Wafer Dicing Quality Control and Yield Optimization,Yonghan Jung,"Semiconductor/Display, AI, Advanced Robotics & Manufacturing","ElectricalㆍElectronics, Information & Communication, Semiconductor, Equipment, Measurement/Inspection, Equipment, Software, Software Solutions"
